Stethoscope	ECG
-0.0646973	-0.00579834
-0.0665283	-0.00732422
-0.0732422	-0.00610352
-0.111084	-0.00610352
-0.170288	-0.00915527
-0.198975	-0.0137329
-0.173645	-0.0180054
-0.0500488	-0.0216675
0.174561	-0.0244141
0.447998	-0.0265503
0.632019	-0.0292969
0.531921	-0.0332642
0.183105	-0.0363159
-0.166626	-0.0350952
-0.323792	-0.0302124
-0.330811	-0.0259399
-0.321655	-0.0244141
-0.340881	-0.0234985
-0.361633	-0.0210571
-0.34668	-0.017395
-0.262756	-0.0143433
-0.0894165	-0.0128174
0.155334	-0.012207
0.374451	-0.0100708
0.485535	-0.00671387
0.461426	-0.00427246
0.323181	-0.00488281
0.133667	-0.00610352
-0.0463867	-0.00518799
-0.154419	-0.00396729
-0.161133	-0.00457764
-0.103149	-0.00610352
-0.0357056	-0.00640869
0.0134277	-0.00640869
0.0411987	-0.00762939
0.0494385	-0.0109863
0.0408936	-0.0143433
0.020752	-0.0161743
0.00183105	-0.0131226
-0.0213623	-0.00793457
-0.0610352	-0.00457764
-0.108337	-0.00213623
-0.129395	0.00335693
-0.111084	0.0115967
-0.067749	0.0195313
-0.0244141	0.0271606
0.0134277	0.0335693
0.038147	0.0390625
0.0485229	0.039978
0.0619507	0.0357056
0.0811768	0.027771
0.0875854	0.0192261
0.0631714	0.0115967
0.0323486	0.00305176
0.0210571	-0.00701904
0.0253296	-0.0143433
0.0283813	-0.0161743
0.0228882	-0.0164795
0.0100708	-0.0167847
-0.010376	-0.0149536
-0.0479126	-0.012207
-0.103149	-0.0100708
-0.149536	-0.00915527
-0.148621	-0.0119019
-0.0863647	-0.0161743
-0.00793457	-0.0170898
0.0308228	-0.0170898
0.0296021	-0.0180054
0.015564	-0.0146484
-0.00793457	-0.00488281
-0.0354004	0.00762939
-0.0494385	0.0198364
-0.0375366	0.0302124
-0.0164795	0.0369263
0.00457764	0.0378418
0.032959	0.0350952
0.0668335	0.0299072
0.0823975	0.0222778
0.078125	0.0125122
0.0671387	0.000915527
0.0674438	-0.00946045
0.0717163	-0.0152588
0.0692749	-0.0152588
0.0534058	-0.0112915
0.0222778	-0.00823975
-0.0134277	-0.00823975
-0.0354004	-0.00915527
-0.0439453	-0.00823975
-0.0469971	-0.00549316
