L I	L III	L II(Calc.)
-0.0283813	-0.0817871	-0.110168
-0.0332642	-0.0762939	-0.109558
-0.039978	-0.0686646	-0.108643
-0.0469971	-0.06073	-0.107727
-0.0531006	-0.0531006	-0.106201
-0.0588989	-0.0460815	-0.10498
-0.0653076	-0.039978	-0.105286
-0.0723267	-0.0350952	-0.107422
-0.0793457	-0.0311279	-0.110474
-0.083313	-0.0283813	-0.111694
-0.0823975	-0.0274658	-0.109863
-0.0778198	-0.0289917	-0.106812
-0.0726318	-0.0317383	-0.10437
-0.067749	-0.0338745	-0.101624
-0.062561	-0.0363159	-0.098877
-0.0549316	-0.0396729	-0.0946045
-0.045166	-0.0439453	-0.0891113
-0.03479	-0.0491333	-0.0839233
-0.0244141	-0.0552368	-0.0796509
-0.0170898	-0.06073	-0.0778198
-0.0146484	-0.0637817	-0.0784302
-0.0164795	-0.0634766	-0.0799561
-0.0216675	-0.0601196	-0.0817871
-0.0299072	-0.0558472	-0.0857544
-0.0372314	-0.0518799	-0.0891113
-0.0393677	-0.0488281	-0.0881958
-0.039978	-0.0460815	-0.0860596
-0.0415039	-0.0427246	-0.0842285
-0.0427246	-0.0393677	-0.0820923
-0.0424194	-0.0363159	-0.0787354
-0.0427246	-0.0323486	-0.0750732
-0.0469971	-0.0244141	-0.0714111
-0.0506592	-0.0177002	-0.0683594
-0.0479126	-0.0186157	-0.0665283
-0.0415039	-0.0253296	-0.0668335
-0.0360107	-0.0326538	-0.0686646
-0.0320435	-0.0390625	-0.071106
-0.0259399	-0.0460815	-0.0720215
-0.0143433	-0.057373	-0.0717163
0.000610352	-0.0726318	-0.0720215
0.0112915	-0.0836182	-0.0723267
0.0164795	-0.0872803	-0.0708008
0.0204468	-0.0881958	-0.067749
0.0231934	-0.088501	-0.0653076
0.0228882	-0.0845337	-0.0616455
0.0198364	-0.0765991	-0.0567627
0.0161743	-0.0674438	-0.0512695
0.0128174	-0.0592041	-0.0463867
0.00976563	-0.0524902	-0.0427246
0.00976563	-0.0497437	-0.039978
0.015564	-0.0524902	-0.0369263
0.0262451	-0.0595093	-0.0332642
0.038147	-0.0674438	-0.0292969
0.0488281	-0.0753784	-0.0265503
0.0585938	-0.0830078	-0.0244141
0.0674438	-0.090332	-0.0228882
0.0741577	-0.0958252	-0.0216675
0.078125	-0.0973511	-0.0192261
0.0787354	-0.0961304	-0.017395
0.0765991	-0.0918579	-0.0152588
0.072937	-0.0869751	-0.0140381
0.067749	-0.0805664	-0.0128174
0.0610352	-0.0723267	-0.0112915
0.0552368	-0.0634766	-0.00823975
0.0531006	-0.0561523	-0.00305176
0.0534058	-0.0515747	0.00183105
0.0552368	-0.0485229	0.00671387
0.0582886	-0.0460815	0.012207
0.0631714	-0.0442505	0.0189209
0.0692749	-0.0439453	0.0253296
0.0756836	-0.0454712	0.0302124
0.0842285	-0.0482178	0.0360107
0.0961304	-0.0518799	0.0442505
0.106812	-0.0561523	0.0506592
0.11322	-0.0592041	0.0540161
0.111084	-0.0570679	0.0540161
0.102234	-0.0491333	0.0531006
0.0918579	-0.0384521	0.0534058
0.0836182	-0.0292969	0.0543213
0.0778198	-0.0234985	0.0543213
0.072937	-0.0210571	0.0518799
0.0662231	-0.0183105	0.0479126
0.0604248	-0.0140381	0.0463867
0.0549316	-0.00946045	0.0454712
0.050354	-0.00732422	0.0430298
0.0488281	-0.0100708	0.0387573
0.050354	-0.0164795	0.0338745
0.0512695	-0.0219727	0.0292969
0.0479126	-0.022583	0.0253296
0.0418091	-0.0213623	0.0204468
0.0338745	-0.0192261	0.0146484
0.0256348	-0.0161743	0.00946045
0.0183105	-0.0149536	0.00335693
0.0128174	-0.0158691	-0.00305176
0.00762939	-0.0167847	-0.00915527
0.00244141	-0.017395	-0.0149536
-0.00244141	-0.0180054	-0.0204468
-0.00762939	-0.0186157	-0.0262451
-0.0134277	-0.0192261	-0.0326538
-0.0180054	-0.0213623	-0.0393677
-0.0231934	-0.0231934	-0.0463867
-0.0299072	-0.022583	-0.0524902
-0.0363159	-0.0222778	-0.0585938
-0.0415039	-0.022583	-0.0640869
-0.0466919	-0.0219727	-0.0686646
-0.0531006	-0.0195313	-0.0726318
-0.0595093	-0.0161743	-0.0756836
-0.0628662	-0.0149536	-0.0778198
-0.0634766	-0.0161743	-0.0796509
-0.0631714	-0.0177002	-0.0808716
-0.062561	-0.0192261	-0.0817871
-0.0622559	-0.0213623	-0.0836182
-0.0640869	-0.0222778	-0.0863647
-0.067749	-0.0219727	-0.0897217
-0.0701904	-0.0234985	-0.093689
-0.0732422	-0.0244141	-0.0976563
-0.0769043	-0.0219727	-0.098877
-0.0805664	-0.0164795	-0.0970459
-0.0848389	-0.0100708	-0.0949097
-0.0881958	-0.00518799	-0.0933838
-0.0878906	-0.00396729	-0.0918579
-0.0845337	-0.00396729	-0.088501
-0.0820923	-0.00152588	-0.0836182
-0.0811768	0.00335693	-0.0778198
-0.0796509	0.00701904	-0.0726318
-0.0759888	0.00610352	-0.0698853
-0.0717163	0.00152588	-0.0701904
-0.0668335	-0.00335693	-0.0701904
-0.0610352	-0.00762939	-0.0686646
